2025-11-01 19:25:04,505 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:25:04,614 | INFO | request_start | {"method": "GET", "path": "/admin/api/data/list", "args": {"page": "1", "per_page": "20", "search": ""}}
2025-11-01 19:25:05,530 | INFO | request_start | {"method": "GET", "path": "/admin/models", "args": {}}
2025-11-01 19:25:05,883 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:25:06,151 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/list", "args": {}}
2025-11-01 19:25:06,262 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/performance-history", "args": {}}
2025-11-01 19:25:12,655 | INFO | request_start | {"method": "GET", "path": "/visualization", "args": {}}
2025-11-01 19:25:12,798 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:25:12,919 | INFO | request_start | {"method": "GET", "path": "/api/data/available-periods", "args": {}}
2025-11-01 19:25:13,204 | INFO | request_start | {"method": "GET", "path": "/api/visualization/moving-averages", "args": {"timeframe": "6M"}}
2025-11-01 19:25:13,802 | INFO | request_start | {"method": "GET", "path": "/api/visualization/model-performance", "args": {"timeframe": "6M", "offset": "24"}}
2025-11-01 19:25:14,167 | INFO | request_start | {"method": "GET", "path": "/api/dashboard/model-performance", "args": {}}
2025-11-01 19:25:21,590 | INFO | request_start | {"method": "GET", "path": "/alerts", "args": {}}
2025-11-01 19:25:21,905 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:25:22,233 | INFO | request_start | {"method": "GET", "path": "/api/dashboard/economic-alerts", "args": {}}
2025-11-01 19:25:22,237 | INFO | request_start | {"method": "GET", "path": "/api/dashboard/economic-indicators", "args": {}}
2025-11-01 19:25:23,252 | INFO | request_start | {"method": "GET", "path": "/commodity-insights", "args": {}}
2025-11-01 19:25:23,560 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:25:23,891 | INFO | request_start | {"method": "GET", "path": "/api/commodity/data-status", "args": {}}
2025-11-01 19:25:23,893 | INFO | request_start | {"method": "GET", "path": "/api/data/available-periods", "args": {}}
2025-11-01 19:25:23,896 | INFO | request_start | {"method": "GET", "path": "/api/commodity/current-week", "args": {}}
2025-11-01 19:25:23,898 | INFO | request_start | {"method": "GET", "path": "/api/commodity/monthly-analysis", "args": {"month": "Juni", "year": "2024"}}
2025-11-01 19:25:23,907 | INFO | request_start | {"method": "GET", "path": "/api/commodity/trends", "args": {"periods": "4", "start_key": "2023-01", "end_key": "2023-01"}}
2025-11-01 19:25:23,914 | INFO | request_start | {"method": "GET", "path": "/api/commodity/impact-ranking", "args": {}}
2025-11-01 19:25:24,422 | INFO | request_start | {"method": "GET", "path": "/api/commodity/trends", "args": {"periods": "999", "start_key": "2025-04", "end_key": "2025-06"}}
2025-11-01 19:26:33,499 | INFO | request_start | {"method": "GET", "path": "/admin/models", "args": {}}
2025-11-01 19:26:33,767 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:26:33,896 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/list", "args": {}}
2025-11-01 19:26:34,208 | INFO | request_start | {"method": "GET", "path": "/admin/alerts", "args": {}}
2025-11-01 19:26:34,255 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:26:34,600 | INFO | request_start | {"method": "GET", "path": "/admin/api/alerts/rules", "args": {}}
2025-11-01 19:26:34,604 | INFO | request_start | {"method": "GET", "path": "/admin/api/alerts/history", "args": {"page": "1", "per_page": "20"}}
2025-11-01 19:27:25,361 | INFO | request_start | {"method": "GET", "path": "/admin/models", "args": {}}
2025-11-01 19:27:25,712 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:27:25,980 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/list", "args": {}}
2025-11-01 19:27:26,087 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/performance-history", "args": {}}
2025-11-01 19:27:27,222 | INFO | request_start | {"method": "GET", "path": "/admin/models", "args": {}}
2025-11-01 19:27:27,572 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:27:27,820 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/list", "args": {}}
2025-11-01 19:27:27,993 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/performance-history", "args": {}}
2025-11-01 19:27:28,667 | INFO | request_start | {"method": "GET", "path": "/admin/forecast", "args": {}}
2025-11-01 19:27:29,022 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:27:29,273 | INFO | request_start | {"method": "GET", "path": "/admin/api/forecasts/statistics", "args": {}}
2025-11-01 19:27:29,400 | INFO | request_start | {"method": "GET", "path": "/admin/api/forecasts/history", "args": {"page": "1", "per_page": "20"}}
2025-11-01 19:27:29,404 | INFO | request_start | {"method": "GET", "path": "/admin/api/forecasts/history", "args": {"per_page": "1000"}}
2025-11-01 19:27:32,338 | INFO | request_start | {"method": "GET", "path": "/admin/alerts", "args": {}}
2025-11-01 19:27:32,696 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:27:32,944 | INFO | request_start | {"method": "GET", "path": "/admin/api/alerts/rules", "args": {}}
2025-11-01 19:27:33,037 | INFO | request_start | {"method": "GET", "path": "/admin/api/alerts/history", "args": {"page": "1", "per_page": "20"}}
2025-11-01 19:27:35,112 | INFO | request_start | {"method": "GET", "path": "/admin/settings", "args": {}}
2025-11-01 19:27:35,467 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:28:25,542 | INFO | request_start | {"method": "GET", "path": "/admin/data-control", "args": {}}
2025-11-01 19:28:25,909 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:28:26,178 | INFO | request_start | {"method": "GET", "path": "/admin/api/data/list", "args": {"page": "1", "per_page": "20", "search": ""}}
2025-11-01 19:28:27,412 | INFO | request_start | {"method": "GET", "path": "/admin/models", "args": {}}
2025-11-01 19:28:27,774 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:28:28,026 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/list", "args": {}}
2025-11-01 19:28:28,152 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/performance-history", "args": {}}
2025-11-01 19:28:28,296 | INFO | request_start | {"method": "GET", "path": "/admin/dashboard", "args": {}}
2025-11-01 19:28:28,670 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:28:28,941 | INFO | request_start | {"method": "GET", "path": "/admin/api/stats", "args": {}}
2025-11-01 19:28:29,206 | INFO | request_start | {"method": "GET", "path": "/admin/data-control", "args": {}}
2025-11-01 19:28:29,570 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:28:29,838 | INFO | request_start | {"method": "GET", "path": "/admin/api/data/list", "args": {"page": "1", "per_page": "20", "search": ""}}
2025-11-01 19:28:45,525 | INFO | request_start | {"method": "GET", "path": "/admin/data-control", "args": {}}
2025-11-01 19:28:45,872 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:28:46,138 | INFO | request_start | {"method": "GET", "path": "/admin/api/data/list", "args": {"page": "1", "per_page": "20", "search": ""}}
2025-11-01 19:28:47,707 | INFO | request_start | {"method": "GET", "path": "/admin/models", "args": {}}
2025-11-01 19:28:48,051 | INFO | request_start | {"method": "GET", "path": "/static/css/style.css", "args": {}}
2025-11-01 19:28:48,319 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/list", "args": {}}
2025-11-01 19:28:48,428 | INFO | request_start | {"method": "GET", "path": "/admin/api/models/performance-history", "args": {}}
2025-11-01 19:30:24,653 | INFO | request_start | {"method": "GET", "path": "/api/commodity/trends", "args": {"periods": "4", "start_key": "2025-04", "end_key": "2025-06"}}
2025-11-01 19:30:24,656 | INFO | request_start | {"method": "GET", "path": "/api/commodity/current-week", "args": {}}
2025-11-01 19:30:24,660 | INFO | request_start | {"method": "GET", "path": "/api/commodity/monthly-analysis", "args": {"month": "Juni", "year": "2024"}}
2025-11-01 19:30:24,662 | INFO | request_start | {"method": "GET", "path": "/api/commodity/impact-ranking", "args": {}}
