Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Data_Source,Last_Updated
2023-01-01,-1.34,Januari'23,Januari'23,,2023,uploaded,2025-10-22 08:13:55.518370
2023-01-08,0.93,Januari'23,Januari'23,,2023,uploaded,2025-10-22 08:13:55.520375
2023-02-08,1.36,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:13:55.522885
2023-02-15,1.82,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:13:55.524897
2023-02-22,2.18,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:13:55.526896
2023-03-01,-1.27,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:13:55.528899
2023-03-08,-1.49,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:13:55.529896
2023-03-15,-1.06,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:13:55.531896
2023-03-22,-0.83,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:13:55.533406
2023-03-29,-0.853,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:13:55.535431
2023-04-01,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:13:55.536424
2023-04-08,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:13:55.537425
2023-04-22,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:13:55.539427
2023-05-01,0.189,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:13:55.541424
2023-05-08,0.508,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:13:55.542932
2023-05-15,0.718,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:13:55.544940
2023-05-22,1.258,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:13:55.545948
2023-05-29,1.536,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:13:55.547941
2023-06-01,1.655,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:13:55.549942
2023-06-08,1.649,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:13:55.551940
2023-06-15,1.644,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:13:55.554462
2023-06-22,1.071,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:13:55.555462
2023-07-01,-0.02,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:13:55.557461
2023-07-08,0.115,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:13:55.559462
2023-07-15,0.13,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:13:55.561461
2023-07-22,0.093,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:13:55.562967
2023-08-01,-0.03,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:13:55.563978
2023-08-08,-0.737,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:13:55.564976
2023-08-15,-0.888,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:13:55.566984
2023-08-22,-0.9,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:13:55.568978
2023-09-01,-0.548,September'23,September'23,,2023,uploaded,2025-10-22 08:13:55.569977
2023-09-08,-0.6,September'23,September'23,,2023,uploaded,2025-10-22 08:13:55.571981
2023-09-15,-0.404,September'23,September'23,,2023,uploaded,2025-10-22 08:13:55.573482
2023-09-22,-0.37,September'23,September'23,,2023,uploaded,2025-10-22 08:13:55.574491
2023-10-01,0.101,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:13:55.576498
2023-10-08,0.221,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:13:55.577499
2023-10-15,0.323,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:13:55.580005
2023-10-22,0.363,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:13:55.581019
2023-11-01,0.672,November'23,November'23,,2023,uploaded,2025-10-22 08:13:55.583012
