Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Data_Source,Last_Updated
2023-01-01,-1.34,Januari'23,Januari'23,,2023,uploaded,2025-10-22 07:13:29.910457
2023-01-08,0.93,Januari'23,Januari'23,,2023,uploaded,2025-10-22 07:13:29.912456
2023-02-08,1.36,Februari'23,Februari'23,,2023,uploaded,2025-10-22 07:13:29.914454
2023-02-15,1.82,Februari'23,Februari'23,,2023,uploaded,2025-10-22 07:13:29.916456
2023-02-22,2.18,Februari'23,Februari'23,,2023,uploaded,2025-10-22 07:13:29.918460
2023-03-01,-1.27,Maret'23,Maret'23,,2023,uploaded,2025-10-22 07:13:29.920454
2023-03-08,-1.49,Maret'23,Maret'23,,2023,uploaded,2025-10-22 07:13:29.921456
2023-03-15,-1.06,Maret'23,Maret'23,,2023,uploaded,2025-10-22 07:13:29.923455
2023-03-22,-0.83,Maret'23,Maret'23,,2023,uploaded,2025-10-22 07:13:29.925457
2023-03-29,-0.853,Maret'23,Maret'23,,2023,uploaded,2025-10-22 07:13:29.927456
2023-04-01,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 07:13:29.929461
2023-04-08,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 07:13:29.930460
2023-04-22,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 07:13:29.932456
2023-05-01,0.189,Mei'23,Mei'23,,2023,uploaded,2025-10-22 07:13:29.934478
2023-05-08,0.508,Mei'23,Mei'23,,2023,uploaded,2025-10-22 07:13:29.935456
2023-05-15,0.718,Mei'23,Mei'23,,2023,uploaded,2025-10-22 07:13:29.937459
2023-05-22,1.258,Mei'23,Mei'23,,2023,uploaded,2025-10-22 07:13:29.939461
2023-05-29,1.536,Mei'23,Mei'23,,2023,uploaded,2025-10-22 07:13:29.941454
2023-06-01,1.655,Juni'23,Juni'23,,2023,uploaded,2025-10-22 07:13:29.942457
2023-06-08,1.649,Juni'23,Juni'23,,2023,uploaded,2025-10-22 07:13:29.944456
2023-06-15,1.644,Juni'23,Juni'23,,2023,uploaded,2025-10-22 07:13:29.945458
2023-06-22,1.071,Juni'23,Juni'23,,2023,uploaded,2025-10-22 07:13:29.947481
2023-07-01,-0.02,Juli'23,Juli'23,,2023,uploaded,2025-10-22 07:13:29.949460
2023-07-08,0.115,Juli'23,Juli'23,,2023,uploaded,2025-10-22 07:13:29.951479
2023-07-15,0.13,Juli'23,Juli'23,,2023,uploaded,2025-10-22 07:13:29.952466
2023-07-22,0.093,Juli'23,Juli'23,,2023,uploaded,2025-10-22 07:13:29.954456
2023-08-01,-0.03,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 07:13:29.955454
2023-08-08,-0.737,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 07:13:29.957461
2023-08-15,-0.888,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 07:13:29.959456
2023-08-22,-0.9,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 07:13:29.960456
2023-09-01,-0.548,September'23,September'23,,2023,uploaded,2025-10-22 07:13:29.962458
2023-09-08,-0.6,September'23,September'23,,2023,uploaded,2025-10-22 07:13:29.964459
2023-09-15,-0.404,September'23,September'23,,2023,uploaded,2025-10-22 07:13:29.966453
2023-09-22,-0.37,September'23,September'23,,2023,uploaded,2025-10-22 07:13:29.968453
2023-10-01,0.101,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 07:13:29.969456
2023-10-08,0.221,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 07:13:29.971455
2023-10-15,0.323,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 07:13:29.972466
2023-10-22,0.363,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 07:13:29.975462
2023-11-01,0.672,November'23,November'23,,2023,uploaded,2025-10-22 07:13:29.976463
2023-11-08,0.887,November'23,November'23,,2023,uploaded,2025-10-22 07:13:29.978464
2023-11-15,1.534,November'23,November'23,,2023,uploaded,2025-10-22 07:13:29.980463
2023-11-22,2.077,November'23,November'23,,2023,uploaded,2025-10-22 07:13:29.982468
2023-12-01,2.021,Desember'23,Desember'23,,2023,uploaded,2025-10-22 07:13:29.984463
2023-12-08,2.414,Desember'23,Desember'23,,2023,uploaded,2025-10-22 07:13:29.985461
2023-12-15,2.414,Desember'23,Desember'23,,2023,uploaded,2025-10-22 07:13:29.986966
2023-12-22,2.288,Desember'23,Desember'23,,2023,uploaded,2025-10-22 07:13:29.988476
2024-01-01,0.166,Januari'24,Januari'24,,2024,uploaded,2025-10-22 07:13:29.989482
2024-01-08,-0.746,Januari'24,Januari'24,,2024,uploaded,2025-10-22 07:13:29.992586
2024-01-15,-1.6,Januari'24,Januari'24,,2024,uploaded,2025-10-22 07:13:29.994139
2024-01-22,-2.137,Januari'24,Januari'24,,2024,uploaded,2025-10-22 07:13:29.995689
2024-02-01,-2.694,Februari'24,Februari'24,,2024,uploaded,2025-10-22 07:13:29.998796
2024-02-08,-2.328,Februari'24,Februari'24,,2024,uploaded,2025-10-22 07:13:30.000809
2024-02-15,-1.962,Februari'24,Februari'24,,2024,uploaded,2025-10-22 07:13:30.002807
2024-02-22,0.355,Februari'24,Februari'24,,2024,uploaded,2025-10-22 07:13:30.003808
2024-02-29,1.492,Februari'24,Februari'24,,2024,uploaded,2025-10-22 07:13:30.005808
2024-03-01,4.523,Maret'24,Maret'24,,2024,uploaded,2025-10-22 07:13:30.007937
2024-03-08,4.793,Maret'24,Maret'24,,2024,uploaded,2025-10-22 07:13:30.009937
2024-03-15,4.489,Maret'24,Maret'24,,2024,uploaded,2025-10-22 07:13:30.011936
2024-03-22,3.92,Maret'24,Maret'24,,2024,uploaded,2025-10-22 07:13:30.012936
2024-04-01,-3.69,April'24,April'24,,2024,uploaded,2025-10-22 07:13:30.014936
2024-04-15,-3.38,April'24,April'24,,2024,uploaded,2025-10-22 07:13:30.016936
2024-04-22,-3.43,April'24,April'24,,2024,uploaded,2025-10-22 07:13:30.018940
2024-05-01,1.58,Mei'24,Mei'24,,2024,uploaded,2025-10-22 07:13:30.020937
2024-05-08,1.81,Mei'24,Mei'24,,2024,uploaded,2025-10-22 07:13:30.021935
2024-05-15,2.08,Mei'24,Mei'24,,2024,uploaded,2025-10-22 07:13:30.023940
2024-05-22,1.89,Mei'24,Mei'24,,2024,uploaded,2025-10-22 07:13:30.025938
2024-05-29,1.5,Mei'24,Mei'24,,2024,uploaded,2025-10-22 07:13:30.027935
2024-06-01,-2.15,Juni'24,Juni'24,,2024,uploaded,2025-10-22 07:13:30.029937
2024-06-15,-1.99,Juni'24,Juni'24,,2024,uploaded,2025-10-22 07:13:30.030938
2024-06-22,-2.0,Juni'24,Juni'24,,2024,uploaded,2025-10-22 07:13:30.033942
2024-07-01,-1.16,Juli'24,Juli'24,,2024,uploaded,2025-10-22 07:13:30.035943
2024-07-08,-1.19,Juli'24,Juli'24,,2024,uploaded,2025-10-22 07:13:30.037938
2024-07-15,-1.09,Juli'24,Juli'24,,2024,uploaded,2025-10-22 07:13:30.039935
2024-07-22,-0.84,Juli'24,Juli'24,,2024,uploaded,2025-10-22 07:13:30.041938
2024-08-01,0.76,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 07:13:30.043939
2024-08-08,1.01,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 07:13:30.045940
2024-08-15,1.05,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 07:13:30.047937
2024-08-22,0.81,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 07:13:30.049938
2024-08-29,0.35,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 07:13:30.051940
2024-09-01,-2.58,September'24,September'24,,2024,uploaded,2025-10-22 07:13:30.053939
2024-09-08,-2.88,September'24,September'24,,2024,uploaded,2025-10-22 07:13:30.055942
