Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Data_Source,Last_Updated
2023-01-01,-1.34,Januari'23,Januari'23,,2023,uploaded,2025-10-22 08:04:06.938337
2023-01-08,0.93,Januari'23,Januari'23,,2023,uploaded,2025-10-22 08:04:06.941337
2023-02-08,1.36,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:04:06.942337
2023-02-15,1.82,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:04:06.944684
2023-02-22,2.18,Februari'23,Februari'23,,2023,uploaded,2025-10-22 08:04:06.946696
2023-03-01,-1.27,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:04:06.949694
2023-03-08,-1.49,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:04:06.950694
2023-03-15,-1.06,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:04:06.951715
2023-03-22,-0.83,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:04:06.953223
2023-03-29,-0.853,Maret'23,Maret'23,,2023,uploaded,2025-10-22 08:04:06.954734
2023-04-01,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:04:06.957304
2023-04-08,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:04:06.958840
2023-04-22,-1.786,April'23,April'23,,2023,uploaded,2025-10-22 08:04:06.958840
2023-05-01,0.189,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:04:06.960409
2023-05-08,0.508,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:04:06.962019
2023-05-15,0.718,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:04:06.965098
2023-05-22,1.258,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:04:06.966641
2023-05-29,1.536,Mei'23,Mei'23,,2023,uploaded,2025-10-22 08:04:06.967650
2023-06-01,1.655,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:04:06.969653
2023-06-08,1.649,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:04:06.971652
2023-06-15,1.644,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:04:06.974174
2023-06-22,1.071,Juni'23,Juni'23,,2023,uploaded,2025-10-22 08:04:06.976170
2023-07-01,-0.02,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:04:06.977193
2023-07-08,0.115,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:04:06.978176
2023-07-15,0.13,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:04:06.980176
2023-07-22,0.093,Juli'23,Juli'23,,2023,uploaded,2025-10-22 08:04:06.982172
2023-08-01,-0.03,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:04:06.983170
2023-08-08,-0.737,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:04:06.984391
2023-08-15,-0.888,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:04:06.987388
2023-08-22,-0.9,Agustus'23,Agustus'23,,2023,uploaded,2025-10-22 08:04:06.989389
2023-09-01,-0.548,September'23,September'23,,2023,uploaded,2025-10-22 08:04:06.991386
2023-09-08,-0.6,September'23,September'23,,2023,uploaded,2025-10-22 08:04:06.992384
2023-09-15,-0.404,September'23,September'23,,2023,uploaded,2025-10-22 08:04:06.994899
2023-09-22,-0.37,September'23,September'23,,2023,uploaded,2025-10-22 08:04:06.996908
2023-10-01,0.101,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:04:06.998906
2023-10-08,0.221,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:04:06.999906
2023-10-15,0.323,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:04:07.001930
2023-10-22,0.363,Oktober'23,Oktober'23,,2023,uploaded,2025-10-22 08:04:07.003439
2023-11-01,0.672,November'23,November'23,,2023,uploaded,2025-10-22 08:04:07.005448
2023-11-08,0.887,November'23,November'23,,2023,uploaded,2025-10-22 08:04:07.006449
2023-11-15,1.534,November'23,November'23,,2023,uploaded,2025-10-22 08:04:07.008448
2023-11-22,2.077,November'23,November'23,,2023,uploaded,2025-10-22 08:04:07.009449
2023-12-01,2.021,Desember'23,Desember'23,,2023,uploaded,2025-10-22 08:04:07.010471
2023-12-08,2.414,Desember'23,Desember'23,,2023,uploaded,2025-10-22 08:04:07.011456
2023-12-15,2.414,Desember'23,Desember'23,,2023,uploaded,2025-10-22 08:04:07.013455
2023-12-22,2.288,Desember'23,Desember'23,,2023,uploaded,2025-10-22 08:04:07.016530
2024-01-01,0.166,Januari'24,Januari'24,,2024,uploaded,2025-10-22 08:04:07.017529
2024-01-08,-0.746,Januari'24,Januari'24,,2024,uploaded,2025-10-22 08:04:07.019039
2024-01-15,-1.6,Januari'24,Januari'24,,2024,uploaded,2025-10-22 08:04:07.021042
2024-01-22,-2.137,Januari'24,Januari'24,,2024,uploaded,2025-10-22 08:04:07.022048
2024-02-01,-2.694,Februari'24,Februari'24,,2024,uploaded,2025-10-22 08:04:07.024591
2024-02-08,-2.328,Februari'24,Februari'24,,2024,uploaded,2025-10-22 08:04:07.026608
2024-02-15,-1.962,Februari'24,Februari'24,,2024,uploaded,2025-10-22 08:04:07.028588
2024-02-22,0.355,Februari'24,Februari'24,,2024,uploaded,2025-10-22 08:04:07.029587
2024-02-29,1.492,Februari'24,Februari'24,,2024,uploaded,2025-10-22 08:04:07.031587
2024-03-01,4.523,Maret'24,Maret'24,,2024,uploaded,2025-10-22 08:04:07.033584
2024-03-08,4.793,Maret'24,Maret'24,,2024,uploaded,2025-10-22 08:04:07.034699
2024-03-15,4.489,Maret'24,Maret'24,,2024,uploaded,2025-10-22 08:04:07.036711
2024-03-22,3.92,Maret'24,Maret'24,,2024,uploaded,2025-10-22 08:04:07.038689
2024-04-01,-3.69,April'24,April'24,,2024,uploaded,2025-10-22 08:04:07.040689
2024-04-15,-3.38,April'24,April'24,,2024,uploaded,2025-10-22 08:04:07.041688
2024-04-22,-3.43,April'24,April'24,,2024,uploaded,2025-10-22 08:04:07.043217
2024-05-01,1.58,Mei'24,Mei'24,,2024,uploaded,2025-10-22 08:04:07.045232
2024-05-08,1.81,Mei'24,Mei'24,,2024,uploaded,2025-10-22 08:04:07.047227
2024-05-15,2.08,Mei'24,Mei'24,,2024,uploaded,2025-10-22 08:04:07.049227
2024-05-22,1.89,Mei'24,Mei'24,,2024,uploaded,2025-10-22 08:04:07.051228
2024-05-29,1.5,Mei'24,Mei'24,,2024,uploaded,2025-10-22 08:04:07.052252
2024-06-01,-2.15,Juni'24,Juni'24,,2024,uploaded,2025-10-22 08:04:07.053228
2024-06-15,-1.99,Juni'24,Juni'24,,2024,uploaded,2025-10-22 08:04:07.054321
2024-06-22,-2.0,Juni'24,Juni'24,,2024,uploaded,2025-10-22 08:04:07.056318
2024-07-01,-1.16,Juli'24,Juli'24,,2024,uploaded,2025-10-22 08:04:07.058281
2024-07-08,-1.19,Juli'24,Juli'24,,2024,uploaded,2025-10-22 08:04:07.059292
2024-07-15,-1.09,Juli'24,Juli'24,,2024,uploaded,2025-10-22 08:04:07.060289
2024-07-22,-0.84,Juli'24,Juli'24,,2024,uploaded,2025-10-22 08:04:07.062294
2024-08-01,0.76,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 08:04:07.064816
2024-08-08,1.01,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 08:04:07.066830
2024-08-15,1.05,Agustus'24,Agustus'24,,2024,uploaded,2025-10-22 08:04:07.067825
