Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Data_Source,Last_Updated
2023-01-01,-1.34,Januari'23 M1,Januari'23,M1,2023,csv_migration,2025-10-26 06:53:04.421475
2023-01-08,0.93,Januari'23 M2,Januari'23,M2,2023,csv_migration,2025-10-26 06:53:04.421475
2023-02-08,1.36,Februari'23,Februari'23,,2023,uploaded,2025-10-26 06:53:04.480861
2023-02-12,1.36,Februari M2,Februari,M2,2023,csv_migration,2025-10-25 22:11:54.792005
2023-02-15,1.82,Februari'23,Februari'23,,2023,uploaded,2025-10-26 06:53:04.480861
2023-02-19,1.82,Februari M3,Februari,M3,2023,csv_migration,2025-10-25 22:11:54.792005
2023-02-22,2.18,Februari'23,Februari'23,,2023,uploaded,2025-10-26 06:53:04.480861
2023-02-26,2.18,Februari M4,Februari,M4,2023,csv_migration,2025-10-25 22:11:54.793001
2023-03-01,-1.27,Maret'23,Maret'23,,2023,uploaded,2025-10-26 06:53:04.480861
2023-03-05,-1.27,Maret M1,Maret,M1,2023,csv_migration,2025-10-25 22:11:54.793001
2023-03-08,-1.49,Maret'23,Maret'23,,2023,uploaded,2025-10-26 06:53:04.480861
2023-03-12,-1.49,Maret M2,Maret,M2,2023,csv_migration,2025-10-25 22:11:54.793001
2023-03-15,-1.06,Maret'23,Maret'23,,2023,uploaded,2025-10-26 06:53:04.480861
2023-03-19,-1.06,Maret M3,Maret,M3,2023,csv_migration,2025-10-25 22:11:54.793001
2023-03-22,-0.83,Maret'23,Maret'23,,2023,uploaded,2025-10-26 06:53:04.480861
2023-03-26,-0.83,Maret M4,Maret,M4,2023,csv_migration,2025-10-25 22:11:54.793001
2023-03-29,-0.853,Maret'23,Maret'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-03-31,-0.853,Maret M5,Maret,M5,2023,csv_migration,2025-10-25 22:11:54.793001
2023-04-01,-1.786,April'23,April'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-04-02,-1.786,April M1,April,M1,2023,csv_migration,2025-10-25 22:11:54.793001
2023-04-08,-1.786,April'23,April'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-04-09,-1.786,April M2,April,M2,2023,csv_migration,2025-10-25 22:11:54.793001
2023-04-22,-1.786,April'23,April'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-04-23,-1.786,April M4,April,M4,2023,csv_migration,2025-10-25 22:11:54.793001
2023-05-01,0.189,Mei'23,Mei'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-05-07,0.189,Mei M1,Mei,M1,2023,csv_migration,2025-10-25 22:11:54.793001
2023-05-08,0.508,Mei'23,Mei'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-05-14,0.508,Mei M2,Mei,M2,2023,csv_migration,2025-10-25 22:11:54.793001
2023-05-15,0.718,Mei'23,Mei'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-05-21,0.718,Mei M3,Mei,M3,2023,csv_migration,2025-10-25 22:11:54.794000
2023-05-22,1.258,Mei'23,Mei'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-05-28,1.258,Mei M4,Mei,M4,2023,csv_migration,2025-10-25 22:11:54.794000
2023-05-29,1.536,Mei'23,Mei'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-05-31,1.536,Mei M5,Mei,M5,2023,csv_migration,2025-10-25 22:11:54.794000
2023-06-01,1.655,Juni'23,Juni'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-06-04,1.655,Juni M1,Juni,M1,2023,csv_migration,2025-10-25 22:11:54.794000
2023-06-08,1.649,Juni'23,Juni'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-06-11,1.649,Juni M2,Juni,M2,2023,csv_migration,2025-10-25 22:11:54.794000
2023-06-15,1.644,Juni'23,Juni'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-06-18,1.644,Juni M3,Juni,M3,2023,csv_migration,2025-10-25 22:11:54.794000
2023-06-22,1.071,Juni'23,Juni'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-06-25,1.071,Juni M4,Juni,M4,2023,csv_migration,2025-10-25 22:11:54.794000
2023-07-01,-0.02,Juli'23,Juli'23,,2023,uploaded,2025-10-26 06:53:04.481861
2023-07-02,-0.02,Juli M1,Juli,M1,2023,csv_migration,2025-10-25 22:11:54.794000
